Date,Zone Enter Time,Zone Exit Time,Time (Mins),Time (Hrs),Distance (Home),Zone,Device
2025-02-17,2025-02-17 18:31:55,2025-02-17 18:46:55,15,0.25,0.07,home,device_tracker_alex_iphone_ic3
2025-02-17,2025-02-17 18:31:55,2025-02-17 18:46:55,15,0.25,0.07,home,device_tracker_alex_iphone_ic3
2025-02-18,2025-02-17 18:49:55,2025-02-18 10:48:35,959,15.98,0.09,home,device_tracker_alex_iphone_ic3
2025-02-18,2025-02-17 18:49:55,2025-02-18 10:48:35,959,15.98,0.09,home,device_tracker_alex_iphone_ic3
2025-02-18,2025-02-18 10:56:10,2025-02-18 11:41:25,45,0.75,1.20,home,device_tracker_alex_iphone_ic3
2025-02-18,2025-02-18 10:56:10,2025-02-18 11:41:25,45,0.75,1.20,home,device_tracker_alex_iphone_ic3
2025-02-18,2025-02-18 17:34:05,2025-02-18 18:04:45,31,0.52,0.09,home,device_tracker_alex_iphone_ic3
2025-02-18,2025-02-18 17:34:05,2025-02-18 18:04:45,31,0.52,0.09,home,device_tracker_alex_iphone_ic3
2025-02-20,2025-02-19 19:16:15,2025-02-20 10:41:40,925,15.42,0.24,home,device_tracker_alex_iphone_ic3
2025-02-20,2025-02-19 19:16:15,2025-02-20 10:41:40,925,15.42,0.24,home,device_tracker_alex_iphone_ic3
2025-02-20,2025-02-20 14:23:55,2025-02-20 14:39:00,15,0.25,4.43,home,device_tracker_alex_iphone_ic3
2025-02-20,2025-02-20 14:23:55,2025-02-20 14:39:00,15,0.25,4.43,home,device_tracker_alex_iphone_ic3
2025-02-21,2025-02-20 18:21:45,2025-02-21 09:13:55,892,14.87,4.52,home,device_tracker_alex_iphone_ic3
2025-02-21,2025-02-20 18:21:45,2025-02-21 09:13:55,892,14.87,4.52,home,device_tracker_alex_iphone_ic3
2025-02-21,2025-02-21 17:24:00,2025-02-21 17:54:10,30,0.50,5.48,home,device_tracker_alex_iphone_ic3
2025-02-21,2025-02-21 17:24:00,2025-02-21 17:54:10,30,0.50,5.48,home,device_tracker_alex_iphone_ic3
2025-02-22,2025-02-21 18:32:10,2025-02-22 08:58:10,866,14.43,16.24,home,device_tracker_alex_iphone_ic3
2025-02-22,2025-02-21 18:32:10,2025-02-22 08:58:10,866,14.43,16.24,home,device_tracker_alex_iphone_ic3
2025-02-24,2025-02-24 11:12:00,2025-02-24 15:14:05,242,4.03,0.75,home,device_tracker_alex_iphone_ic3
2025-02-24,0000-00-00 00:00:00,2025-02-24 15:14:05,0,0.00,0.75,,device_tracker_alex_iphone_ic3

2025-02-25,2025-02-24 21:31:25,2025-02-25 09:39:05,728,12.13,0.09,home,device_tracker_alex_iphone_ic3
2025-02-25,2025-02-25 13:20:00,2025-02-25 13:35:05,15,0.25,1.82,home,device_tracker_alex_iphone_ic3
2025-02-25,2025-02-25 14:45:10,2025-02-25 15:00:15,15,0.25,0.09,home,device_tracker_alex_iphone_ic3
2025-02-27,2025-02-26 20:46:11,2025-02-27 10:39:40,833,13.88,1.55,home,device_tracker_alex_iphone_ic3
2025-02-27,2025-02-27 13:15:25,2025-02-27 14:30:50,75,1.25,3.62,home,device_tracker_alex_iphone_ic3
2025-03-02,2025-03-02 12:26:21,2025-03-02 12:54:55,29,0.48,1.80,home,device_tracker_alex_iphone_ic3
2025-03-02,2025-03-02 18:07:10,2025-03-02 18:22:10,15,0.25,1.84,home,device_tracker_alex_iphone_ic3
2025-07-20,2025-07-20 09:29:35,2025-07-20 13:17:35,228,3.80,0.08,home,device_tracker_alex_iphone_ic3
2025-07-21,2025-07-20 19:57:25,2025-07-21 11:39:30,942,15.70,0.08,home,device_tracker_alex_iphone_ic3
2025-07-21,2025-07-21 13:13:50,2025-07-21 15:01:00,107,1.78,0.07,home,device_tracker_alex_iphone_ic3
2025-07-22,2025-07-21 16:45:30,2025-07-22 11:46:45,1141,19.02,0.07,home,device_tracker_alex_iphone_ic3
2025-07-22,2025-07-22 14:03:35,2025-07-22 15:57:10,114,1.90,0.07,home,device_tracker_alex_iphone_ic3
2025-07-23,2025-07-22 17:38:05,2025-07-23 11:26:05,1068,17.80,0.07,home,device_tracker_alex_iphone_ic3
2025-07-23,2025-07-23 13:43:35,2025-07-23 17:34:00,230,3.83,0.07,home,device_tracker_alex_iphone_ic3
2025-07-24,2025-07-23 18:03:25,2025-07-24 11:28:25,1045,17.42,0.07,home,device_tracker_alex_iphone_ic3
2025-07-24,2025-07-24 13:31:00,2025-07-24 16:14:15,163,2.72,0.08,home,device_tracker_alex_iphone_ic3
2025-07-25,2025-07-24 20:34:55,2025-07-25 11:36:25,902,15.03,0.07,home,device_tracker_alex_iphone_ic3
2025-07-25,2025-07-25 13:30:45,2025-07-25 13:49:35,19,0.32,0.07,home,device_tracker_alex_iphone_ic3
2025-07-25,2025-07-25 15:32:55,2025-07-25 16:10:35,38,0.63,0.08,home,device_tracker_alex_iphone_ic3
2025-07-26,2025-07-26 02:32:30,2025-07-26 06:01:15,209,3.48,0.15,home,device_tracker_alex_iphone_ic3
2025-07-26,2025-07-26 10:05:10,2025-07-26 11:48:45,104,1.73,0.07,home,device_tracker_alex_iphone_ic3
2025-07-26,2025-07-26 11:53:00,2025-07-26 16:15:40,263,4.38,0.07,home,device_tracker_alex_iphone_ic3
2025-07-27,2025-07-27 07:38:45,2025-07-27 12:01:05,262,4.37,0.08,home,device_tracker_alex_iphone_ic3
2025-07-28,2025-07-27 12:42:00,2025-07-28 15:10:10,1588,26.47,0.07,home,device_tracker_alex_iphone_ic3
2025-07-28,2025-07-28 16:55:40,2025-07-28 16:59:10,4,0.07,0.18,home,device_tracker_alex_iphone_ic3
2025-07-29,2025-07-29 04:52:40,2025-07-29 17:15:40,743,12.38,0.07,home,device_tracker_alex_iphone_ic3
2025-07-30,2025-07-29 17:46:50,2025-07-30 11:39:20,1072,17.87,0.07,home,device_tracker_alex_iphone_ic3
2025-07-30,2025-07-30 14:37:55,2025-07-30 16:33:40,116,1.93,0.07,home,device_tracker_alex_iphone_ic3
2025-07-31,2025-07-30 17:12:35,2025-07-31 11:17:55,1085,18.08,0.07,home,device_tracker_alex_iphone_ic3
2025-07-31,2025-07-31 11:18:30,2025-07-31 11:22:25,4,0.07,0.11,home,device_tracker_alex_iphone_ic3
2025-07-31,2025-07-31 15:01:25,2025-07-31 15:16:45,15,0.25,0.08,home,device_tracker_alex_iphone_ic3
2025-07-31,2025-07-31 15:59:55,2025-07-31 17:32:05,92,1.53,0.07,home,device_tracker_alex_iphone_ic3
2025-07-31,2025-07-31 18:17:00,2025-07-31 20:34:10,137,2.28,0.04,home,device_tracker_alex_iphone_ic3
2025-08-01,2025-07-31 20:37:10,2025-08-01 11:10:00,873,14.55,0.07,home,device_tracker_alex_iphone_ic3
2025-08-01,2025-08-01 11:10:45,2025-08-01 11:14:20,4,0.07,0.12,home,device_tracker_alex_iphone_ic3
2025-08-01,2025-08-01 15:49:40,2025-08-01 16:58:05,68,1.13,0.07,home,device_tracker_alex_iphone_ic3
2025-08-01,2025-08-01 18:06:20,2025-08-01 19:10:10,64,1.07,0.08,home,device_tracker_alex_iphone_ic3
2025-08-02,2025-08-01 19:34:00,2025-08-02 10:34:45,901,15.02,0.09,home,device_tracker_alex_iphone_ic3
2025-08-02,2025-08-02 12:14:45,2025-08-02 19:04:35,410,6.83,0.08,home,device_tracker_alex_iphone_ic3
2025-08-03,2025-08-03 07:35:40,2025-08-03 11:40:55,245,4.08,0.09,home,device_tracker_alex_iphone_ic3
2025-08-03,2025-08-03 11:58:25,2025-08-03 12:06:10,8,0.13,0.07,home,device_tracker_alex_iphone_ic3
2025-08-03,2025-08-03 14:44:35,2025-08-03 16:29:25,105,1.75,0.07,home,device_tracker_alex_iphone_ic3
2025-08-04,2025-08-03 17:29:15,2025-08-04 11:33:10,1084,18.07,0.08,home,device_tracker_alex_iphone_ic3
2025-08-04,2025-08-04 15:11:30,2025-08-04 17:07:30,116,1.93,0.07,home,device_tracker_alex_iphone_ic3
2025-08-05,2025-08-05 07:18:05,2025-08-05 10:57:05,219,3.65,0.07,home,device_tracker_alex_iphone_ic3
2025-08-05,2025-08-05 12:48:50,2025-08-05 17:24:20,276,4.60,0.08,home,device_tracker_alex_iphone_ic3
2025-08-06,2025-08-05 18:03:20,2025-08-06 11:31:40,1048,17.47,0.08,home,device_tracker_alex_iphone_ic3
2025-08-06,2025-08-06 13:21:45,2025-08-06 13:58:05,36,0.60,0.07,home,device_tracker_alex_iphone_ic3
2025-08-06,2025-08-06 14:58:15,2025-08-06 15:52:25,54,0.90,0.07,home,device_tracker_alex_iphone_ic3
2025-08-07,2025-08-07 09:30:30,2025-08-07 10:52:35,82,1.37,0.08,home,device_tracker_alex_iphone_ic3
2025-08-07,2025-08-07 13:19:10,2025-08-07 14:08:35,49,0.82,0.08,home,device_tracker_alex_iphone_ic3
2025-08-07,2025-08-07 14:55:05,2025-08-07 15:11:20,16,0.27,0.08,home,device_tracker_alex_iphone_ic3
2025-08-07,2025-08-07 15:20:30,2025-08-07 15:24:55,4,0.07,5.70,home,device_tracker_alex_iphone_ic3
2025-08-08,2025-08-07 16:44:05,2025-08-08 12:21:55,1178,19.63,0.08,home,device_tracker_alex_iphone_ic3
2025-08-08,2025-08-08 14:30:10,2025-08-08 15:14:05,44,0.73,0.16,home,device_tracker_alex_iphone_ic3
2025-08-09,2025-08-08 17:45:50,2025-08-09 11:42:20,1076,17.93,0.09,home,device_tracker_alex_iphone_ic3
2025-08-09,2025-08-09 15:57:35,2025-08-09 16:37:35,40,0.67,0.08,home,device_tracker_alex_iphone_ic3
2025-08-10,2025-08-10 16:22:50,2025-08-10 16:27:00,4,0.07,0.12,home,device_tracker_alex_iphone_ic3
2025-08-11,2025-08-10 23:29:45,2025-08-11 10:52:50,683,11.38,0.07,home,device_tracker_alex_iphone_ic3
2025-08-11,2025-08-11 12:56:40,2025-08-11 13:14:35,18,0.30,0.08,home,device_tracker_alex_iphone_ic3
2025-08-11,2025-08-11 15:15:10,2025-08-11 16:19:20,64,1.07,1.09,home,device_tracker_alex_iphone_ic3
2025-08-12,2025-08-12 09:33:00,2025-08-12 09:56:50,24,0.40,0.08,home,device_tracker_alex_iphone_ic3
2025-08-12,2025-08-12 12:37:00,2025-08-12 16:40:10,243,4.05,0.07,home,device_tracker_alex_iphone_ic3
2025-08-13,2025-08-12 17:42:20,2025-08-13 07:39:30,837,13.95,0.49,home,device_tracker_alex_iphone_ic3
2025-08-13,2025-08-13 08:53:10,2025-08-13 12:12:45,200,3.33,0.07,home,device_tracker_alex_iphone_ic3
2025-08-13,2025-08-13 14:39:40,2025-08-13 15:02:30,23,0.38,0.07,home,device_tracker_alex_iphone_ic3
2025-08-14,2025-08-13 16:57:55,2025-08-14 10:37:10,1059,17.65,0.33,home,device_tracker_alex_iphone_ic3
2025-08-14,2025-08-14 12:37:25,2025-08-14 13:58:00,81,1.35,0.08,home,device_tracker_alex_iphone_ic3
2025-08-14,2025-08-14 15:09:55,2025-08-14 18:32:10,202,3.37,0.17,home,device_tracker_alex_iphone_ic3
2025-08-15,2025-08-14 19:59:30,2025-08-15 06:44:50,645,10.75,0.08,home,device_tracker_alex_iphone_ic3
2025-08-15,2025-08-15 07:16:25,2025-08-15 08:02:35,46,0.77,0.07,home,device_tracker_alex_iphone_ic3
2025-08-15,2025-08-15 09:46:35,2025-08-15 14:16:05,270,4.50,0.07,home,device_tracker_alex_iphone_ic3
2025-08-15,2025-08-15 15:16:55,2025-08-15 15:47:10,30,0.50,0.07,home,device_tracker_alex_iphone_ic3
2025-08-16,2025-08-15 18:03:40,2025-08-16 20:45:45,1602,26.70,0.08,home,device_tracker_alex_iphone_ic3
